,PhysicsExam,Heights,NurseDays,Magazine
1,74,125,0,0
2,56,142,0,0
3,64,142,0,0
4,51,143,0,0
5,66,143,0,0
6,45,143,0,0
7,51,144,0,0
8,65,144,0,0
9,45,144,0,0
10,56,145,0,0
11,55,145,0,0
12,82,147,0,0
13,65,147,0,0
14,63,147,0,0
15,63,150,0,0
16,66,150,0,0
17,67,150,0,0
18,52,150,0,0
19,43,150,0,0
20,67,150,0,0
21,59,152,0,0
22,71,152,0,0
23,69,152,0,0
24,71,152,0,0
25,47,152,0,0
26,60,155,0,0
27,67,155,0,0
28,59,155,0,0
29,72,155,0,0
30,48,155,0,0
31,82,155,0,0
32,23,155,0,0
33,62,155,0,0
34,38,155,0,0
35,73,155,0,0
36,46,155,0,0
37,69,155,0,0
38,53,155,0,0
39,73,155,0,0
40,88,155,0,0
41,65,157,0,0
42,61,157,0,0
43,46,157,0,0
44,58,157,0,1
45,47,157,0,1
46,61,157,0,1
47,70,157,0,1
48,46,157,0,1
49,52,157,0,1
50,41,157,0,1
51,40,157,0,1
52,68,157,0,1
53,58,157,0,1
54,58,157,0,1
55,64,157,0,1
56,56,157,0,1
57,95,160,0,1
58,66,160,0,1
59,50,160,0,1
60,72,160,0,1
61,69,160,0,1
62,48,160,0,1
63,66,160,0,1
64,65,160,0,1
65,50,160,0,1
66,46,160,0,1
67,63,163,0,1
68,40,163,1,1
69,65,163,1,1
70,60,163,1,1
71,56,163,1,1
72,67,163,1,1
73,58,163,1,1
74,52,163,1,1
75,59,163,1,1
76,70,163,1,1
77,68,163,1,1
78,68,163,1,1
79,38,165,1,1
80,67,165,1,1
81,94,165,1,1
82,72,165,1,1
83,75,165,1,1
84,73,165,1,1
85,29,165,1,1
86,61,165,1,1
87,38,165,1,1
88,54,165,1,1
89,52,165,1,1
90,72,165,1,1
91,53,165,1,1
92,54,165,1,1
93,52,165,1,1
94,59,165,1,1
95,92,165,2,1
96,69,168,2,1
97,56,168,2,1
98,44,168,2,1
99,42,168,2,1
100,50,168,2,1
101,62,168,2,2
102,60,168,3,2
103,81,168,4,2
104,65,168,5,6
105,62,168,5,7
106,92,170,5,7
107,52,170,5,10
108,51,170,19,10
109,47,170,129,10
110,76,170,,10
111,30,170,,11
112,60,170,,11
113,72,170,,11
114,58,170,,11
115,59,170,,11
116,46,170,,11
117,67,170,,11
118,60,170,,11
119,41,170,,11
120,67,170,,11
121,73,170,,11
122,56,173,,11
123,28,173,,11
124,76,173,,11
125,37,173,,11
126,41,173,,11
127,71,173,,11
128,78,173,,11
129,67,173,,11
130,81,173,,11
131,51,173,,11
132,55,173,,11
133,46,173,,11
134,60,173,,11
135,59,175,,11
136,64,175,,11
137,53,175,,11
138,64,175,,11
139,89,175,,11
140,55,175,,11
141,61,175,,11
142,70,175,,11
143,82,178,,11
144,76,178,,11
145,64,178,,11
146,61,178,,11
147,43,178,,11
148,72,178,,11
149,54,178,,11
150,58,178,,11
151,24,178,,11
152,58,178,,11
153,71,178,,11
154,63,178,,11
155,45,180,,11
156,67,180,,11
157,76,180,,11
158,67,180,,11
159,43,180,,11
160,48,180,,11
161,72,180,,11
162,70,180,,11
163,94,180,,11
164,44,183,,12
165,74,183,,12
166,35,183,,12
167,76,183,,12
168,47,183,,12
169,50,183,,12
170,51,183,,12
171,71,183,,12
172,88,183,,12
173,59,183,,12
174,47,185,,12
175,57,185,,12
176,49,185,,12
177,64,185,,12
178,62,185,,12
179,59,185,,12
180,57,185,,12
181,54,188,,12
182,56,188,,12
183,84,188,,12
184,65,188,,12
185,68,190,,12
186,66,190,,12
187,91,193,,12
188,54,193,,12
189,48,193,,12
190,75,196,,12
191,49,196,,12
192,67,198,,12
193,50,198,,12
194,58,203,,12
195,64,206,,12
196,62,208,,12
197,51,,,12
198,87,,,12
199,61,,,12
200,65,,,12
201,48,,,12
202,65,,,12
203,87,,,12
204,72,,,12
205,69,,,12
206,59,,,12
207,37,,,12
208,28,,,12
209,67,,,12
210,64,,,12
211,44,,,12
212,56,,,12
213,61,,,12
214,74,,,12
215,60,,,12
216,77,,,12
217,52,,,12
218,,,,12
219,,,,12
220,,,,12
221,,,,12
222,,,,12
223,,,,12
224,,,,12
225,,,,12
226,,,,12
227,,,,12
228,,,,12
